title,authors,paper_url,github_url,github_stars,published_date,source_url,source
RARF: Region-Aware Rectified Flows for 3D Brain MRI Inpainting,Tomas Guija-Valiente; Blanca Rodriguez-Gonzalez; Norberto Malpica; Angel Torrado-Carvajal,http://arxiv.org/abs/2609.03956v1,,,2026-09-03T14:55:57Z,http://arxiv.org/abs/2609.03956v1,arXiv
More Criticism Does Not Make a Better Review: EquiReview-R,Zexing Zhang; Jichao Li; Tianyang Lei; Yude Fu; Yang Kewei,http://arxiv.org/abs/2609.03943v1,,,2026-09-03T14:49:24Z,http://arxiv.org/abs/2609.03943v1,arXiv
Headroom-Drift Replay: A Primitive for Principled Replay Control in GRPO,Hyun Bin Park; Du-Seong Chang,http://arxiv.org/abs/2609.03941v1,,,2026-09-03T14:45:47Z,http://arxiv.org/abs/2609.03941v1,arXiv
Masked Autoregressive Speech Enhancement with Continuous Neural Audio Codec Representations,Yoto Fujita; Simon Leglaive; Laurent Girin,http://arxiv.org/abs/2609.03940v1,,,2026-09-03T14:45:42Z,http://arxiv.org/abs/2609.03940v1,arXiv
Towards Numerical TOHTN Planning with SMT-based HTN-SAT Encoding,Gaspard Quenard; Takudzwa Togarepi; Damien Pellier; Humbert Fiorino,http://arxiv.org/abs/2609.03938v1,,,2026-09-03T14:44:37Z,http://arxiv.org/abs/2609.03938v1,arXiv
RATL: Learning from Retrieved Residuals for Robust Multivariate Time-Series Forecasting,Yuchen He; Yueyang Cang; Zhiyuan Ning; Ningyu Wang; Li Shi,http://arxiv.org/abs/2609.03937v1,,,2026-09-03T14:44:31Z,http://arxiv.org/abs/2609.03937v1,arXiv
Speak for Me: Giving LLMs the Situational Awareness to Participate in a Meeting,Muneeb Khan; Frederic Kirstein; Terry Ruas; Bela Gipp,http://arxiv.org/abs/2609.03923v1,,,2026-09-03T14:38:09Z,http://arxiv.org/abs/2609.03923v1,arXiv
Value-Preserving Architectures for Agentic AI Systems,Alessandro Pesare; Tommaso Dolci; Katja Hose; Emanuel Sallinger,http://arxiv.org/abs/2609.03920v1,,,2026-09-03T14:36:23Z,http://arxiv.org/abs/2609.03920v1,arXiv
"Lose the Order, Keep the Hierarchy: Deordering HTN Plans",Takudzwa Togarepi; Gaspard Quenard; Damien Pellier; Humbert Fiorino,http://arxiv.org/abs/2609.03912v1,,,2026-09-03T14:27:58Z,http://arxiv.org/abs/2609.03912v1,arXiv
GraFT: A Training-Free Framework for Spatial Reasoning in Multimodal Large Language Models via 3D Scene Graphs,Junqing Du; Fernando Ropero; Erkin Turkoz; Yanfeng Zhang; Lu Liu,http://arxiv.org/abs/2609.03892v1,,,2026-09-03T14:11:56Z,http://arxiv.org/abs/2609.03892v1,arXiv
FWBC-VLA: Force-Aware Whole-Body Compensation for Contact-Rich Loco-Manipulation,Yutian Zhang; Siyuan Ma; Liwen Yang; Yang Li; Ce Hao; Haozhen Chi; Dong We; Qiaojun Yu; Dibo Hou,http://arxiv.org/abs/2609.03889v1,,,2026-09-03T14:10:47Z,http://arxiv.org/abs/2609.03889v1,arXiv
"A Blind Trust, the Bloody Thrust: When Attacker-Controlled Hook Updates Steer AI Agent Harnesses towards Malicious Behaviors",Pengxun Li; Litian Zhang; Jianwei Hou; Shujiang Wu; Song Li; Zifeng Kang; Xi Zhang,http://arxiv.org/abs/2609.03884v1,,,2026-09-03T14:08:42Z,http://arxiv.org/abs/2609.03884v1,arXiv
Inferring Affective Consciousness in an Artificial Agent: A Case Study,Mark Solms; St John Grimbly; Bruce Bassett; Evert Boonstra; Rowan Hodson; Nicolas Kuske; Kival Mahadew; Benjamin Rosman; Charel van Hoof; Jonathan Shock,http://arxiv.org/abs/2609.03883v1,,,2026-09-03T14:07:57Z,http://arxiv.org/abs/2609.03883v1,arXiv
Xiaomi-TabLDM: A Tabular Foundation Model Technical Report,Xiaomi-TabLDM Team; :; Penghui Wang; Wei Liu; Hong Wang; Chengyue Huang; Yuxi Sun; Zirui Wang; Hongming Huang; Quan Wang; Chunxiao Liu; Erli Meng; Bin Wang,http://arxiv.org/abs/2609.03880v1,,,2026-09-03T14:06:41Z,http://arxiv.org/abs/2609.03880v1,arXiv
Differentiable Interval Bottlenecks for Interpretable Anomaly Detection in Numerical Data,Lamine Diop; Marc Plantevit,http://arxiv.org/abs/2609.03878v1,,,2026-09-03T14:05:27Z,http://arxiv.org/abs/2609.03878v1,arXiv
STAIR (STructure Aware Information Retriever): A novel dataset and LLM based retriever for document structure augmentation,Vineet Kumar; Meghanadh Pulivarthi; vishwajeet kumar; Jaydeep Sen; Riyaz Ahmad Bhat; Sachindra Joshi,http://arxiv.org/abs/2609.03874v1,,,2026-09-03T14:02:53Z,http://arxiv.org/abs/2609.03874v1,arXiv
Bioinfoysis Technical Report,Qingyang Shao; Xin Zhang; Zhouyang Yuan; Xianying Chen; Yujia Xiang; Zihao Yang; Tong Ye; Yangqi Zhang; Jiakang Xu; Xiaoqing Yan; Xuan Luo; Keyi Li; Enci Fan; Kai Kang; Zhuohan Liu; Xingyu Jin; Chunran Teng; Tao Li; Xinyu Lv; Minghui Wang; Wenfeng Li; Yidan Gao; Siyu Liu; Mingrui Luo; Zhu Liang; Guanren Qiao; Zhiping Xu,http://arxiv.org/abs/2609.03871v1,,,2026-09-03T13:59:00Z,http://arxiv.org/abs/2609.03871v1,arXiv
GazeFS: Target-Centered Gaze-Trajectory Forecasting and Stabilization from Gaze-Head History,Yaozheng Xia; Zaiping Zhu; Bo Pang; Minghao Xie; Hui Li; Shaorong Wang; Sheng Li,http://arxiv.org/abs/2609.03868v1,,,2026-09-03T13:56:36Z,http://arxiv.org/abs/2609.03868v1,arXiv
Adapting to Evolving Requirements: Agentic AI for Retail Supply Chain Operations,Lei Zheng; Liping Yang; Zihao Li; Guodong Lyu; Chaik Ming Koh; Chung-Piaw Teo,http://arxiv.org/abs/2609.03860v1,,,2026-09-03T13:50:31Z,http://arxiv.org/abs/2609.03860v1,arXiv
Semantic Bayesian World Models,Tommaso Soru,http://arxiv.org/abs/2609.03834v1,,,2026-09-03T13:35:11Z,http://arxiv.org/abs/2609.03834v1,arXiv
The impact of phase information for few-shot fine-grained image classification,Ruiling Liu; Linyue Zhang; Wenyi Zeng; Jiamiao Lu; Weichuang Zhang; Changming Sun; Zejun Zhang; Xiao Zhao,http://arxiv.org/abs/2609.03829v1,,,2026-09-03T13:28:07Z,http://arxiv.org/abs/2609.03829v1,arXiv
Witnesses Explain Anomalies,Lamine Diop,http://arxiv.org/abs/2609.03826v1,,,2026-09-03T13:26:49Z,http://arxiv.org/abs/2609.03826v1,arXiv
CauseCollab: Causal Unified and Modality-Agnostic Network for Heterogeneous Collaborative Perception,Weize Li; Yang Li; Quan Yuan; Xiaoyuan Fu; Guiyang Luo; Jinglin Li,http://arxiv.org/abs/2609.03818v1,,,2026-09-03T13:19:50Z,http://arxiv.org/abs/2609.03818v1,arXiv
Free Pause Tokens,John Langford; Nathan Godey; Giovanni Monea; Yoav Artzi; Harry Dong; Ying Fan; Gustavo de Rosa; Zheng Zhan,http://arxiv.org/abs/2609.03807v1,,,2026-09-03T13:12:47Z,http://arxiv.org/abs/2609.03807v1,arXiv
SVG-Score: Human-Aligned Evaluation of Text-to-SVG Generation,Marco Cipriano; Leonardo Zini; Alexandra Schild; Valentin Teutschbein; Afsana Mimi; Marcella Cornia; Lorenzo Baraldi; Gerard de Melo,http://arxiv.org/abs/2609.03806v1,,,2026-09-03T13:12:37Z,http://arxiv.org/abs/2609.03806v1,arXiv
"Govern the Model, Not Only the Data: Storage, Circulation, and Learning in Creative AI",Phoenix Perry; George Simms; Elizabeth Wilson; Yasmine Boudiaf; Nick Bryan-Kinns; Tega Brain; R. Luke DuBois; Alix Rule; Rachel Meade Smith; Kelani Nichole; Atharva Pravin Pawar; Rebecca Fiebrink,http://arxiv.org/abs/2609.03800v1,,,2026-09-03T13:04:24Z,http://arxiv.org/abs/2609.03800v1,arXiv
Transfiver: Human-AI Co-Inference through a Shared Editable State,Minji Park; Seunghyun Yoon; Hyuk Lim,http://arxiv.org/abs/2609.03797v1,,,2026-09-03T13:03:23Z,http://arxiv.org/abs/2609.03797v1,arXiv
LLaDA-Image: Building Strong Image Generators with Fully Open Training Recipes,Chuyan Chen; Haoxing Chen; Kun Chen; Zhenglin Cheng; Long Cui; Ruishan Fang; Zhangxuan Gu; Zhicheng Huang; Zhenzhong Lan; Yuanting Lei; Haoquan Li; Jianguo Li; Rongchuan Li; Sidu Li; Tao Lin; Deyuan Liu; Jiacheng Liu; Lin Liu; Yuxuan Lou; Zhisheng Lu; Yuxin Ma; Shuheng Shen; Peng Sun; Chaoyang Wang; Hongjun Wang; Xiaomei Wang; Yongxin Wang; Chengzhang Wu; Hongru Wu; Jun Xie,http://arxiv.org/abs/2609.03796v1,,,2026-09-03T13:02:40Z,http://arxiv.org/abs/2609.03796v1,arXiv
DNative-Twin: Decision Graphs and Digital Twins for Reconstructable Agentic Decisions,Junjie Pang; Zhenzhen Xie; Haoke Han; Ying He; Jing Wang; Gang Liu,http://arxiv.org/abs/2609.03787v1,,,2026-09-03T12:59:34Z,http://arxiv.org/abs/2609.03787v1,arXiv
IndicSafeEval: Safety Robustness of Large Language Models under Multilingual Persuasive Jailbreak Attacks,Saikat Mondal; Mamta; Deeksha Varshney; Oana Cocarascu; Asif Ekbal,http://arxiv.org/abs/2609.03781v1,,,2026-09-03T12:54:44Z,http://arxiv.org/abs/2609.03781v1,arXiv
Rethinking World Models for Safety-Critical Embodied Systems,Kailang Ma; Heye Huang; Inhi Kim; Kitae Jang,http://arxiv.org/abs/2609.03774v1,,,2026-09-03T12:44:44Z,http://arxiv.org/abs/2609.03774v1,arXiv
ENEAS: Embedding-guided Neural Ensemble for Adaptive Segmentation,Javier del Pino; Salvador Rodríguez; Alejandro Garabito; Javier Álvarez; Chema Garabito,http://arxiv.org/abs/2609.03756v1,,,2026-09-03T12:25:26Z,http://arxiv.org/abs/2609.03756v1,arXiv
SimSkill: A Lifelong Learning AI Agent for Autonomous Mastery of Traffic Simulation,Qi Liu; Qinzheng Wang; Yiming Bie,http://arxiv.org/abs/2609.03753v1,,,2026-09-03T12:23:56Z,http://arxiv.org/abs/2609.03753v1,arXiv
